HariRaya,Penundaan ,HariLibur,MingguGajian,GangguanCuaca,Status
Tidak,Tidak,Panjang,Ya,Ya,Normal
Tidak,Tidak,Panjang,Ya,Ya,Ramai
Tidak,Tidak,Panjang,Ya,Ya,Normal
Tidak,Tidak,Panjang,Ya,Ya,Normal
Tidak,Tidak,Panjang,Ya,Ya,Normal
Tidak,Tidak,Panjang,Ya,Tidak,Ramai
Tidak,Tidak,Panjang,Ya,Tidak,Ramai
Tidak,Tidak,Tidak,Ya,Tidak,Ramai
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Ya,Normal
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Ya,Tidak,Tidak,Tidak,Ramai
Tidak,Ya,Tidak,Tidak,Tidak,Ramai
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Ramai
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Ramai
Tidak,Tidak,Tidak,Tidak,Ya,Normal
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Ya,Ya,Ramai
Tidak,Ya,Tidak,Ya,Ya,Ramai
Tidak,Ya,Weekend,Ya,Ya,Ramai
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Weekend,Tidak,Ya,Normal
Tidak,Tidak,Weekend,Tidak,Ya,Normal
Tidak,Ya,Weekend,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Harian,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Harian,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Ya,Tidak,Harian,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Ya,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Ya,Weekend,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Ya,Tidak,Tidak,Ya,Ramai
Tidak,Tidak,Tidak,Tidak,Ya,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Weekend,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Harian,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Ya,Tidak,Normal
Tidak,Tidak,Weekend,Ya,Tidak,Normal
Tidak,Tidak,Panjang,Ya,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Tidak,Tidak,Tidak,Tidak,Tidak,Normal
Ya,Tidak,Panjang,Tidak,Tidak,Normal
Ya,Tidak,Panjang,Tidak,Tidak,Normal
Ya,Tidak,Panjang,Tidak,Tidak,Normal
Tidak,Ya,Panjang,Tidak,Tidak,Ramai
